"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"0959-8138","10.1136/bmj.k1716","10.1136/bmj.k2022","Rethinking assumptions about delivery of healthcare: implications for universal health coverage","BMJ","bmj",NA,NA,"journal-article","2018-05-21",NA,TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",302.35,438,4,0,"27"
"0013-936X","10.1021/acs.est.8b03217","10.1021/acs.est.8b01467","An Estimate of Natural Gas Methane Emissions from California Homes","American Chemical Society (ACS)","environmental science & technology","52","17","journal-article","2018-08-03","6.653",FALSE,FALSE,NA,NA,16.9,21,0,0,"7"
"2405-4712","10.1016/j.cels.2018.06.002","10.1016/j.cels.2018.05.014","Dissecting RAF Inhibitor Resistance by Structure-based Modeling Reveals Ways to Overcome Oncogenic RAS Signaling","Elsevier BV","cell systems","7","2","journal-article","2018-07-11","8.982",FALSE,FALSE,NA,NA,24.53,27,0,1,"15"
"1469-221X","10.15252/embr.201846675","10.15252/embr.201845836","Fresh approaches to vaccine development","EMBO","embo reports","19","8","journal-article","2018-07-12","8.749",TRUE,FALSE,"open (via free pdf)","publisher",29.2,40,3,0,"0"
"1471-2164","10.1186/s12864-018-4917-1","10.1186/s12864-018-4913-5","Generation of Mycoplasma hominis gene-targeted mutants by targeting-induced local lesions in genomes (TILLING)","Springer Nature","bmc genomics","19","1","journal-article","2018-07-09","3.73",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"4"
"0896-0267","10.1007/s10548-018-0660-9","10.1007/s10548-018-0656-5","Efficient Mapping of the Motor Cortex with Navigated Biphasic Paired-Pulse Transcranial Magnetic Stimulation","Springer Nature America, Inc","brain topography","31","6","journal-article","2018-07-03","2.703",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0028-0836","10.1038/nature04967x","10.1038/s41586-018-0211-2","Glass behaviour: Poisson's ratio and liquid's fragility","Springer Nature","nature","442","7102","journal-article","2018-07-09","41.577",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"2160-1836","10.1534/g3.116.036228","10.1534/g3.118.200046","Enhancer Sharing Promotes Neighborhoods of Transcriptional Regulation Across Eukaryotes","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","6","12","journal-article","2018-06-20","2.742",TRUE,TRUE,"open (via page says license)","publisher",22.68,34,0,1,"51"
"2041-1723","10.1038/s41467-018-05234-0","10.1038/s41467-018-04871-9","Adding chemically selective subtraction to multi-material 3D additive manufacturing","Springer Nature","nature communications","9","1","journal-article","2018-07-11","12.353",TRUE,TRUE,"open (via page says license)","publisher",115.49,4,0,5,"14"
"1932-6203","10.1371/journal.pone.0201794","10.1371/journal.pone.0199151","Upregulation of miR-370 and miR-543 is associated with reduced expression of heat shock protein 40 in spinocerebellar ataxia type 3","Public Library of Science (PLoS)","plos one","13","8","journal-article","2018-08-07","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"3"
"0027-8424","10.1073/pnas.1800187115","10.1073/pnas.1721638115","Large SOD1 aggregates, unlike trimeric SOD1, do not impact cell viability in a model of amyotrophic lateral sclerosis","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences",NA,NA,"journal-article","2018-04-17","9.504",FALSE,FALSE,NA,NA,83.876,11,0,2,"27"
"1553-7404","10.1371/journal.pgen.1007393","10.1371/journal.pgen.1007387","Condensin II drives large-scale folding and spatial partitioning of interphase chromosomes in Drosophila nuclei","Public Library of Science (PLoS)","plos genetics","14","7","journal-article","2018-07-12","5.54",TRUE,TRUE,"open (via page says license)","publisher",27.85,44,0,0,"25"
"0092-8674","10.1016/j.cell.2018.05.021","10.1016/j.cell.2018.05.046","Phenotypic Convergence: Distinct Transcription Factors Regulate Common Terminal Features","Elsevier BV","cell","174","3","journal-article","2018-06-18","31.398",FALSE,FALSE,NA,NA,46.85,41,2,0,"66"
"2041-1723","10.1038/s41467-018-05236-y","10.1038/s41467-018-05281-7","SUMO2 conjugation of PCNA facilitates chromatin remodeling to resolve transcription-replication conflicts","Springer Nature","nature communications","9","1","journal-article","2018-07-09","12.353",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"22"
"1053-8119","10.1016/j.neuroimage.2018.06.037","10.1016/j.neuroimage.2018.06.020","Structural correlates of literacy difficulties in the second language: Evidence from Mandarin-speaking children learning English","Elsevier BV","neuroimage","179",NA,"journal-article","2018-06-12","5.426",FALSE,FALSE,NA,NA,0.25,1,0,0,"8"
"2168-622X","10.1001/jamapsychiatry.2018.1591","10.1001/jamapsychiatry.2018.1581","The Search for Treatments for Veterans With Major Depression","American Medical Association (AMA)","jama psychiatry","75","9","journal-article","2018-06-27","16.642",FALSE,FALSE,NA,NA,26.18,10,2,2,"0"
"0022-3077","10.1152/jn.00113.2018","10.1152/jn.00778.2017","Using gaze behavior to parcellate the explicit and implicit contributions to visuomotor learning","American Physiological Society","journal of neurophysiology","120","4","journal-article","2018-07-11","2.502",FALSE,FALSE,NA,NA,5.55,10,1,0,"10"
"1471-2105","10.1186/s12859-018-2197-z","10.1186/s12859-018-2226-y","Automatic extraction of informal topics from online suicidal ideation","Springer Nature","bmc bioinformatics","19","S8","journal-article","2018-06-08","2.213",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"8"
"2045-2322","10.1038/s41598-018-29278-w","10.1038/s41598-018-28653-x","Temporal analysis of Arabidopsis genes activated by Eucalyptus grandis NAC transcription factors associated with xylem fibre and vessel development","Springer Nature","scientific reports","8","1","journal-article","2018-07-16","4.122",TRUE,TRUE,"open (via page says license)","publisher",3.85,7,0,0,"9"
"0022-1899","10.1093/infdis/jix642","10.1093/infdis/jix604","Coinfections in Hospitalized Children With Community-Acquired Pneumonia: What Does This Mean for the Clinician?","Oxford University Press (OUP)","the journal of infectious diseases","218","2","journal-article","2017-12-06","5.186",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0270-6474","10.1523/jneurosci.2472-17.2018","10.1523/jneurosci.2189-17.2017","Auditory Input Shapes Tonotopic Differentiation of Kv1.1 Expression in Avian Cochlear Nucleus during Late Development","Society for Neuroscience","the journal of neuroscience","38","12","journal-article","2018-02-13","5.971",FALSE,FALSE,NA,NA,1,1,0,0,"9"
"2399-3642","10.1038/s42003-018-0032-8","10.1038/s42003-018-0049-z","Assessment of susceptible chemical modification sites of trastuzumab and endogenous human immunoglobulins at physiological conditions","Springer Nature","communications biology","1","1","journal-article","2018-03-26",NA,FALSE,FALSE,NA,NA,0.5,2,0,0,"17"
"1063-5157","10.1093/sysbio/syy037","10.1093/sysbio/syy041","How Well Can We Estimate Diversity Dynamics for Clades in Diversity Decline?","Oxford University Press (OUP)","systematic biology",NA,NA,"journal-article","2018-05-14","8.523",TRUE,FALSE,"open (via free pdf)","publisher",46.25,75,0,0,"6"
"2160-3308","10.1103/physrevx.8.021015","10.1103/physrevx.8.021025","Aerodynamics and Percolation: Unfolding Laminar Separation Bubble on Airfoils","American Physical Society (APS)","physical review x","8","2","journal-article","2018-04-11","14.385",TRUE,TRUE,"open (via page says license)","publisher",17.75,2,0,0,"9"
"1553-7358","10.1371/journal.pcbi.1006144","10.1371/journal.pcbi.1006131","Cloud computing applications for biomedical science: A perspective","Public Library of Science (PLoS)","plos computational biology","14","6","journal-article","2018-06-14","3.955",TRUE,TRUE,"open (via free pdf)","publisher",26.15,44,0,0,"33"
"2405-4712","10.1016/j.cels.2018.03.010","10.1016/j.cels.2018.04.008","Network Visualization and Analysis of Spatially Aware Gene Expression Data with InsituNet","Elsevier BV","cell systems","6","5","journal-article","2018-05-09","8.982",FALSE,FALSE,NA,NA,16.8,15,0,0,"15"
"0022-3077","10.1152/jn.00130.2018","10.1152/jn.00613.2017","Error, rather than its probability, elicits specific electrocortical signatures: a combined EEG-immersive virtual reality study of action observation","American Physiological Society","journal of neurophysiology","120","3","journal-article","2018-06-06","2.502",FALSE,FALSE,NA,NA,18.95,29,1,0,"10"
"1932-6203","10.1371/journal.pone.0197882","10.1371/journal.pone.0196878","ARRIVE has not ARRIVEd: Support for the ARRIVE (Animal Research: Reporting of in vivo Experiments) guidelines does not improve the reporting quality of papers in animal welfare, analgesia or anesthesia","Public Library of Science (PLoS)","plos one","13","5","journal-article","2018-05-24","2.766",TRUE,TRUE,"open (via page says license)","publisher",23.2,15,0,0,"4"
"0092-8674","10.1016/j.cell.2017.08.030","10.1016/j.cell.2017.08.032","Engineering Quantitative Trait Variation for Crop Improvement by Genome Editing","Elsevier BV","cell","171","2","journal-article","2017-09-14","31.398",FALSE,FALSE,NA,NA,650.466,344,6,4,"323"
"2045-2322","10.1038/s41598-018-25277-z","10.1038/s41598-018-26569-0","Double domain polyethylenimine-based nanoparticles for integrin receptor mediated delivery of plasmid DNA","Springer Nature","scientific reports","8","1","journal-article","2018-04-25","4.122",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"5"
"2057-5858","10.1099/mic.0.000684","10.1099/mgen.0.000186","The importance of cross-disciplinary research to combat antimicrobial resistance: introducing a new pop-up journal, X-AMR
         ","Microbiology Society","
microbial genomics","4","7","journal-article","2018-06-20",NA,TRUE,FALSE,"open (via free pdf)","publisher",32.45,58,0,0,"3"
"2167-8359","10.7717/peerj.4828","10.7717/peerj.4892","Taxonomic monograph of Oxygyne (Thismiaceae), rare achlorophyllous mycoheterotrophs with strongly disjunct distribution","PeerJ","peerj","6",NA,"journal-article","2018-05-23","2.118",TRUE,TRUE,"open (via page says license)","publisher",32,48,0,0,"2"
"0305-1048","10.1093/nar/gky190","10.1093/nar/gky252","Limited reverse transcriptase activity of phi29 DNA polymerase","Oxford University Press (OUP)","nucleic acids research","46","7","journal-article","2018-03-15","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",0,0,0,0,"0"
"2211-1247","10.1016/j.celrep.2018.04.114","10.1016/j.celrep.2018.05.016","Similarities and Differences of Blood N-Glycoproteins in Five Solid Carcinomas at Localized Clinical Stage Analyzed by SWATH-MS","Elsevier BV","cell reports","23","9","journal-article","2018-05-29","8.032",TRUE,TRUE,"oa journal (via doaj)","publisher",2.25,4,0,0,"14"
"2057-5858","10.1099/mgen.0.000192","10.1099/mgen.0.000184","ClermonTyping: an easy-to-use and accurate in silico method for Escherichia genus strain phylotyping","Microbiology Society","
microbial genomics","4","7","journal-article","2018-06-19",NA,TRUE,FALSE,"open (via page says license)","publisher",6.35,13,0,0,"7"
"1553-7358","10.1371/journal.pcbi.1006152","10.1371/journal.pcbi.1006157","Modeling the functions of condensin in chromosome shaping and segregation","Public Library of Science (PLoS)","plos computational biology","14","6","journal-article","2018-06-18","3.955",TRUE,TRUE,"open (via page says license)","publisher",5.35,10,0,0,"12"
"0270-6474","10.1523/jneurosci.0149-18.2018","10.1523/jneurosci.2557-17.2018","Chemogenetic Activation of Prefrontal Cortex Rescues Synaptic and Behavioral Deficits in a Mouse Model of 16p11.2 Deletion Syndrome","Society for Neuroscience","the journal of neuroscience","38","26","journal-article","2018-05-31","5.971",FALSE,FALSE,NA,NA,7.7,18,0,0,"10"
"1553-7358","10.1371/journal.pcbi.1006071","10.1371/journal.pcbi.1006112","Predictive modelling of a novel anti-adhesion therapy to combat bacterial colonisation of burn wounds","Public Library of Science (PLoS)","plos computational biology","14","5","journal-article","2018-05-03","3.955",TRUE,TRUE,"open (via page says license)","publisher",40.88,13,0,2,"4"
"2047-217X","10.1093/gigascience/giy006","10.1093/gigascience/giy015","Draft genomes of two blister beetles Hycleus cichorii and Hycleus phaleratus","Oxford University Press (OUP)","gigascience","7","3","journal-article","2018-02-10","7.267",TRUE,TRUE,"open (via page says Open Access)","publisher",2.75,5,2,0,"1"
"1662-5153","10.3389/fnbeh.2018.00179","10.3389/fnbeh.2018.00137","Moral Violations and the Experience of Disgust and Anger","Frontiers Media SA","frontiers in behavioral neuroscience","12",NA,"journal-article","2018-08-22","3.138",TRUE,TRUE,"open (via page says license)","publisher",6.45,16,0,0,"3"
"1053-8119","10.1016/j.neuroimage.2018.05.057","10.1016/j.neuroimage.2018.06.021","Concentric radiofrequency arrays to increase the statistical power of resting-state maps in monkeys","Elsevier BV","neuroimage","178",NA,"journal-article","2018-05-28","5.426",FALSE,FALSE,NA,NA,3.6,7,0,0,"7"
"1462-2912","10.1111/1462-2920.14097","10.1111/1462-2920.14107","Nutrient factories: metabolic function of beneficial microorganisms associated with insects","Wiley","environmental microbiology","20","6","journal-article","2018-03-09","4.974",FALSE,FALSE,NA,NA,12.93,15,0,1,"19"
"2052-4463","10.1038/sdata.2018.45","10.1038/sdata.2018.110","SEEG initiative estimates of Brazilian greenhouse gas emissions from 1970 to 2015","Springer Nature","scientific data","5",NA,"journal-article","2018-05-29","5.311",TRUE,TRUE,"open (via page says license)","publisher",7.7,12,0,0,"29"
"1553-7404","10.1371/journal.pgen.1007197","10.1371/journal.pgen.1007232","Fish mutant, where is thy phenotype?","Public Library of Science (PLoS)","plos genetics","14","2","journal-article","2018-02-22","5.54",TRUE,TRUE,"open (via page says license)","publisher",4.6,7,0,0,"17"
"0021-9258","10.1074/jbc.ra118.004478","10.1074/jbc.ra118.005010","Protein-specific activities of the transmembrane modules of Ptch1 and Ptch2 are determined by their adjacent protein domains","American Society for Biochemistry & Molecular Biology (ASBMB)","journal of biological chemistry",NA,NA,"journal-article","2018-08-30","4.011",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"2045-2322","10.1038/s41598-018-29367-w","10.1038/s41598-018-29277-x","Automated flow cytometric identification of disease-specific cells by the ECLIPSE algorithm","Springer Nature","scientific reports","8","1","journal-article","2018-07-13","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"0022-2844","10.1007/s00239-018-9848-6","10.1007/s00239-018-9849-5","Evolutionary Dynamics of Copy Number and Meiotic Recombination in Murine 5S rDNA: Possible Involvement of Natural Selection","Springer Nature","journal of molecular evolution","86","5","journal-article","2018-06-12","1.957",FALSE,FALSE,NA,NA,0.5,2,0,0,"2"
"0006-3495","10.1016/j.bpj.2018.06.021","10.1016/j.bpj.2018.06.023","Lipoprotein Particle Formation by Proapoptotic tBid","Elsevier BV","biophysical journal","115","3","journal-article","2018-06-26","3.495",FALSE,FALSE,NA,NA,0,0,0,0,"0"
