"SOURCETITLE","YEAR","IF"
"journal of healthcare engineering",2016,0.98
"journal of mathematical chemistry",2015,0.98
"asian journal of psychiatry",2013,0.97
"international journal of biochemistry and cell biology",2018,0.97
"cellular signalling",2018,0.97
"orphanet journal of rare diseases",2018,0.97
"symmetry",2015,0.97
"neural plasticity",2018,0.97
"data science journal",2016,0.97
"frontiers in neuroscience",2018,0.96
"journal of experimental and theoretical physics",2015,0.96
"clinical neurophysiology",2018,0.96
"psychonomic bulletin and review",2018,0.96
"bmc genomics",2018,0.96
"mitteilungen aus dem museum fur naturkunde in berlin - deutsche entomologische zeitschrift",2017,0.96
"behavior research methods",2018,0.96
"homo- journal of comparative human biology",2014,0.96
"biological control",2018,0.96
"optics express",2018,0.95
"genome announcements",2017,0.95
"bmc plant biology",2018,0.95
"eurasip journal on bioinformatics and systems biology",2013,0.95
"fly",2012,0.95
"journal of economic behavior and organization",2012,0.95
"clinical immunology",2018,0.95
"biochemistry and biophysics reports",2017,0.95
"hereditas",2013,0.95
"journal of cognition and culture",2013,0.95
"mathematical modelling of natural phenomena",2013,0.95
"investigative ophthalmology and visual science",2018,0.95
"biogerontology",2018,0.95
"chemometrics and intelligent laboratory systems",2018,0.95
"homo- journal of comparative human biology",2013,0.94
"tree physiology",2018,0.94
"journal of computer-aided molecular design",2018,0.94
"international journal of modern physics c",2017,0.94
"brain research bulletin",2018,0.94
"hippocampus",2018,0.94
"genetics and molecular research",2015,0.94
"current problems in cancer",2018,0.94
"hereditas",2015,0.94
"journal of physical chemistry b",2018,0.94
"bmc cell biology",2018,0.94
"journal of agricultural, biological, and environmental statistics",2015,0.94
"dna research",2018,0.94
"journal of healthcare engineering",2012,0.93
"brain research",2018,0.93
"psychophysiology",2018,0.93
"european physical journal plus",2018,0.93
"cancer chemotherapy and pharmacology",2018,0.93
"african journal of ecology",2017,0.93
"international journal of modern physics b",2015,0.93
"genes chromosomes and cancer",2018,0.93
"journal of molecular cell biology",2018,0.93
"journal of shellfish research",2015,0.93
"genetics and molecular research",2017,0.93
"current plant biology",2018,0.93
"current opinion in behavioral sciences",2018,0.93
"acta biotheoretica",2015,0.93
"genetics and molecular research",2016,0.93
"frontiers in molecular neuroscience",2018,0.93
"journal of cystic fibrosis",2018,0.93
"mathematical biosciences and engineering",2012,0.93
"pathogens",2018,0.93
"journal of mountain science",2013,0.92
"american journal of physiology - renal physiology",2018,0.92
"journal of cognition and culture",2016,0.92
"journal of biological dynamics",2013,0.92
"journal of experimental and theoretical physics",2013,0.92
"calcified tissue international",2018,0.92
"annals of intensive care",2018,0.92
"biophysical journal",2018,0.92
"phytopathology",2018,0.92
"journal of agricultural, biological, and environmental statistics",2013,0.92
"briefings in functional genomics",2018,0.91
"statistical science",2012,0.91
"mitochondrial dna",2016,0.91
"cell cycle",2018,0.91
"acta crystallographica section d: structural biology",2018,0.91
"molecular informatics",2018,0.91
"bmc microbiology",2018,0.91
"fly",2015,0.91
"journal of cognitive neuroscience",2018,0.91
"taxon",2018,0.9
"journal of bioinformatics and computational biology",2016,0.9
"circulation: cardiovascular genetics",2018,0.9
"genomics",2018,0.9
"i-perception",2017,0.9
"brain topography",2018,0.9
"journal of bacteriology",2018,0.9
"parasites and vectors",2018,0.9
"artificial organs",2018,0.9
"biological psychology",2018,0.9
"evolution; international journal of organic evolution",2018,0.89
"biology of blood and marrow transplantation",2018,0.89
"evolution",2018,0.89
"planta",2018,0.89
"behavioural brain research",2018,0.89
"antimicrobial resistance and infection control",2018,0.89
"journal of chemical physics",2018,0.89
"acta biotheoretica",2014,0.89
"african journal of ecology",2016,0.89
"heredity",2018,0.89
"evolution and human behavior",2018,0.89
"statistical methods in medical research",2012,0.88
"subterranean biology",2016,0.88
"mathematical modelling of natural phenomena",2015,0.88
"genetics",2018,0.88
"cytometry part a",2018,0.88
"insect molecular biology",2018,0.88
"brain and behavior",2012,0.87
"anaerobe",2018,0.87
"journal of alzheimer's disease",2018,0.87
"ecological modelling",2018,0.87
"virus research",2018,0.87
"behavioral ecology",2018,0.87
"world journal of gastroenterology",2018,0.87
"statistical applications in genetics and molecular biology",2017,0.87
"journal of clinical virology",2018,0.87
"oecologia",2018,0.87
"journal of autism and developmental disorders",2018,0.87
"pharmacology biochemistry and behavior",2018,0.87
"chemmedchem",2018,0.87
"journal of phycology",2018,0.87
"hereditas",2016,0.87
"cpt: pharmacometrics and systems pharmacology",2018,0.87
"human pathology",2018,0.87
"journal of the royal society interface",2018,0.86
"gene",2018,0.86
"protoplasma",2018,0.86
"journal of experimental biology",2018,0.86
"journal of bioenergetics and biomembranes",2018,0.86
"journal of orthopaedic research",2018,0.86
"microfluidics and nanofluidics",2018,0.86
"journal of shellfish research",2014,0.86
"drug safety",2018,0.86
"neurochemical research",2018,0.86
"vaccine",2018,0.86
"phytochemistry",2018,0.86
"frontiers in genetics",2018,0.86
"restoration ecology",2018,0.85
"experimental eye research",2018,0.85
"genetics and molecular research",2013,0.85
"journal of genetics",2015,0.85
"general and comparative endocrinology",2018,0.85
"journal of chemical and engineering data",2018,0.85
"coral reefs",2018,0.85
"frontiers in biology",2017,0.85
"journal of physics d: applied physics",2018,0.85
"frontiers in neural circuits",2018,0.85
"frontiers in cellular and infection microbiology",2018,0.85
"current problems in cancer",2013,0.85
"molecular biosystems",2018,0.85
"european psychiatry",2018,0.85
"journal of shellfish research",2016,0.85
"international journal of computational biology and drug design",2015,0.85
"journal of agricultural, biological, and environmental statistics",2016,0.84
"frontiers in aging neuroscience",2018,0.84
"frontiers in marine science",2018,0.84
"genetics selection evolution",2018,0.84
"integrative biology (united kingdom)",2018,0.84
"journal of cancer",2018,0.84
"journal of applied crystallography",2018,0.84
"pathogens and global health",2013,0.84
"neuropsychologia",2018,0.83
"international journal of infectious diseases",2018,0.83
"scientometrics",2018,0.83
"european journal of neuroscience",2018,0.83
"movement ecology",2018,0.83
"biochemistry",2018,0.83
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2018,0.83
"chembiochem",2018,0.83
"bmc cancer",2018,0.83
"journal of cognition and culture",2012,0.83
"theoretical population biology",2012,0.83
"mitteilungen aus dem museum fur naturkunde in berlin - deutsche entomologische zeitschrift",2016,0.82
"hereditas",2017,0.82
"environmental science: processes and impacts",2018,0.82
"american journal of medical genetics, part b: neuropsychiatric genetics",2018,0.82
"proteins: structure, function and bioinformatics",2018,0.82
"journal of experimental and theoretical physics",2012,0.82
"international journal of medical informatics",2018,0.82
"journal of mathematical chemistry",2018,0.82
"frontiers in chemistry",2018,0.82
"biochemical and biophysical research communications",2018,0.82
"journal of biological engineering",2018,0.82
"stat",2013,0.82
"infection, genetics and evolution",2018,0.82
"frontiers in zoology",2018,0.81
"bmc evolutionary biology",2018,0.81
"journal of general virology",2018,0.81
"natural resource modeling",2017,0.81
"brain and language",2018,0.81
"journal of experimental and theoretical physics",2014,0.81
"cancer biology and therapy",2018,0.81
"virology",2018,0.81
"african journal of ecology",2014,0.81
"journal of insect physiology",2018,0.81
"physiology and behavior",2018,0.81
"genome biology and evolution",2018,0.81
"developmental biology",2018,0.81
"genomics data",2016,0.8
"homo- journal of comparative human biology",2017,0.8
"zoological journal of the linnean society",2018,0.8
"biological invasions",2018,0.8
"estuarine, coastal and shelf science",2018,0.8
"journal of neuroscience methods",2018,0.8
"journal of genetics",2012,0.8
"american journal of botany",2018,0.8
"frontiers in earth science",2018,0.79
"frontiers in neuroanatomy",2018,0.79
"human heredity",2017,0.79
"international journal of modern physics b",2016,0.79
"neurophotonics",2018,0.79
"international journal of modern physics b",2017,0.79
"theoretical ecology",2018,0.79
"fungal biology",2018,0.79
"international journal of modern physics c",2012,0.79
"journal of genetics",2016,0.79
"international journal for parasitology",2018,0.78
"frontiers in behavioral neuroscience",2018,0.78
"malaria journal",2018,0.78
"archives of disease in childhood",2018,0.78
"mitteilungen aus dem museum fur naturkunde in berlin - deutsche entomologische zeitschrift",2012,0.78
"gut pathogens",2018,0.78
"cytokine",2018,0.78
"ecosphere",2018,0.78
"biochimica et biophysica acta - proteins and proteomics",2018,0.78
"cognitive, affective and behavioral neuroscience",2018,0.78
"epidemics",2018,0.78
"eurasip journal on bioinformatics and systems biology",2017,0.77
"bmc medical genomics",2018,0.77
"frontiers in biology",2016,0.77
"open forum infectious diseases",2018,0.77
"bmc molecular biology",2018,0.77
"european journal of entomology",2012,0.76
"journal of histochemistry and cytochemistry",2018,0.76
"micromachines",2018,0.76
"environmental microbiology reports",2018,0.76
"heliyon",2016,0.76
"hydrobiologia",2018,0.76
"journal of cognition and culture",2014,0.76
"bmc developmental biology",2018,0.76
"numerical algorithms",2018,0.76
"f1000research",2014,0.76
"metabolites",2012,0.75
"antibiotics",2013,0.75
"immunogenetics",2018,0.75
"entomologica americana",2016,0.75
"international journal for parasitology: drugs and drug resistance",2018,0.75
"plos one",2018,0.75
"eurasip journal on bioinformatics and systems biology",2015,0.75
"journal of human evolution",2018,0.75
"deep-sea research part i: oceanographic research papers",2018,0.74
"sensors (switzerland)",2018,0.74
"tuberculosis",2018,0.74
"protein science",2018,0.74
"slas technology",2018,0.74
"fly",2016,0.74
"plant methods",2018,0.74
"animal behaviour",2018,0.74
"stat",2015,0.74
"progress in biophysics and molecular biology",2018,0.74
"eneuro",2018,0.74
"placenta",2018,0.74
"computational and structural biotechnology journal",2013,0.74
"antibiotics",2018,0.74
"infection and immunity",2018,0.74
"hereditas",2012,0.73
"acta biotheoretica",2016,0.73
"g3: genes, genomes, genetics",2018,0.73
"bmc biotechnology",2018,0.73
"memorias do instituto oswaldo cruz",2018,0.73
"genes and immunity",2018,0.73
"homo- journal of comparative human biology",2015,0.73
"intelligence",2018,0.73
"human biology",2016,0.73
"parasitology",2018,0.73
"wilson journal of ornithology",2016,0.73
"learning and memory",2018,0.73
"aerobiologia",2018,0.73
"journal of healthcare engineering",2013,0.73
"frontiers in human neuroscience",2018,0.73
"neural computation",2018,0.73
"international journal of computational biology and drug design",2014,0.72
"evodevo",2018,0.72
"biologically inspired cognitive architectures",2016,0.72
"journal of chemical ecology",2018,0.72
"psychiatry research - neuroimaging",2018,0.72
"journal of genetics",2017,0.72
"international journal of ecology",2017,0.72
"archives of virology",2018,0.72
"biochemistry and biophysics reports",2016,0.72
"journal of evolutionary biology",2018,0.71
"prenatal diagnosis",2018,0.71
"evolutionary ecology",2018,0.71
"homo- journal of comparative human biology",2016,0.71
"frontiers in physiology",2018,0.71
"genetics and molecular research",2014,0.71
"comparative biochemistry and physiology -part a : molecular and integrative physiology",2018,0.71
"conservation genetics",2018,0.71
"steroids",2018,0.71
"behavior genetics",2018,0.71
"biomedical microdevices",2018,0.7
"bmc neuroscience",2018,0.7
"journal of biological dynamics",2012,0.7
"human biology",2014,0.7
"biology direct",2018,0.7
"statistics in biosciences",2017,0.7
"journal of cognition and culture",2015,0.7
"journal of mountain science",2012,0.7
"journal of shellfish research",2012,0.7
"auk",2018,0.7
"journal of pharmacy and pharmacology",2018,0.7
"marine ecology progress series",2018,0.7
"chaos",2018,0.69
"dynamic games and applications",2017,0.69
"biological journal of the linnean society",2018,0.69
"royal society open science",2018,0.69
"journal of chemical neuroanatomy",2018,0.69
"microbiology spectrum",2015,0.69
